Url,Partner,,Type,Rating,Rating, reviews,Enroll,Level
/specializations/website-development,University of London,Responsive Website Development and Design,SPECIALIZATION,Rated 4.5 out of five stars. 7081 reviews,4.5,"7,081",240K students,Beginner
/specializations/big-data-introduccion,Universitat Autònoma de Barcelona,Big Data – Introducción al uso práctico de datos masivos,SPECIALIZATION,Rated 4.6 out of five stars. 2439 reviews,4.6,"2,439",41K students,Beginner
/learn/excel-intermediate-1,Macquarie University,Excel Skills for Business: Intermediate I,COURSE,Rated 4.9 out of five stars. 13493 reviews,4.9,"13,493",230K students,Intermediate
/learn/attention-models-in-nlp,DeepLearning.AI,Natural Language Processing with Attention Models,COURSE,Rated 4.4 out of five stars. 650 reviews,4.4,650,31K students,Intermediate
/specializations/machine-learning-for-everyone,SAS,Machine Learning Rock Star – the End-to-End Practice,SPECIALIZATION,Rated 4.8 out of five stars. 152 reviews,4.8,152,9.8K students,Beginner
/specializations/social-media-marketing-practice,Digital Marketing Institute,Social Media Marketing in Practice,SPECIALIZATION,Rated 4.6 out of five stars. 27 reviews,4.6,27,6.7K students,Beginner
/learn/sequence-models-in-nlp,DeepLearning.AI,Natural Language Processing with Sequence Models,COURSE,Rated 4.5 out of five stars. 777 reviews,4.5,777,33K students,Intermediate
/specializations/jhu-data-visualization-dashboarding-with-r,Johns Hopkins University,Data Visualization & Dashboarding with R,SPECIALIZATION,Rated 4.8 out of five stars. 149 reviews,4.8,149,7.6K students,Beginner
/learn/python-databases,University of Michigan,Using Databases with Python,COURSE,Rated 4.8 out of five stars. 19901 reviews,4.8,"19,901",390K students,Mixed
/specializations/graphic-design-elements-non-designers,University of Colorado Boulder,Graphic Design Elements for Non-Designers,SPECIALIZATION,Rated 4.7 out of five stars. 1200 reviews,4.7,"1,200",53K students,Beginner
/specializations/hands-on-python,Codio,Programming in Python: A Hands-on Introduction,SPECIALIZATION,Rated 4.6 out of five stars. 66 reviews,4.6,66,3.2K students,Beginner
/learn/introduction-genomics,Johns Hopkins University,Introduction to Genomic Technologies,COURSE,Rated 4.6 out of five stars. 3570 reviews,4.6,"3,570",67K students,Mixed
/specializations/digital-advertising-strategy,University of Colorado Boulder,Digital Advertising Strategy,SPECIALIZATION,Rated 4.5 out of five stars. 576 reviews,4.5,576,44K students,Beginner
/learn/design-language,California Institute of the Arts,The Language of Design: Form and Meaning,COURSE,Rated 4.6 out of five stars. 528 reviews,4.6,528,53K students,Beginner
/learn/applied-data-science-capstone,IBM,Applied Data Science Capstone,COURSE,Rated 4.7 out of five stars. 5536 reviews,4.7,"5,536",83K students,Intermediate
/learn/trauma-surgery-basics,Technische Universität München (TUM),The Basics of Trauma Surgery,COURSE,Rated 4.5 out of five stars. 122 reviews,4.5,122,8.6K students,Intermediate
/learn/excel-intermediate-2,Macquarie University,Excel Skills for Business: Intermediate II,COURSE,Rated 4.8 out of five stars. 6472 reviews,4.8,"6,472",140K students,Intermediate
/learn/algorithms-greedy,Stanford University,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",COURSE,Rated 4.8 out of five stars. 1152 reviews,4.8,"1,152",58K students,Intermediate
/specializations/digital-marketing-strategy-planning,Digital Marketing Institute,Digital Marketing Strategy and Planning,SPECIALIZATION,Rated 4.3 out of five stars. 29 reviews,4.3,29,2.8K students,Beginner
/learn/python-functions-files-dictionaries,University of Michigan,"Python Functions, Files, and Dictionaries",COURSE,Rated 4.8 out of five stars. 4320 reviews,4.8,"4,320",77K students,Beginner
/learn/excel-advanced,Macquarie University,Excel Skills for Business: Advanced,COURSE,Rated 4.7 out of five stars. 4513 reviews,4.7,"4,513",130K students,Intermediate
/specializations/machine-learning-supply-chain,LearnQuest,Machine Learning for Supply Chains,SPECIALIZATION,,,,,Intermediate
/learn/front-end-react,The Hong Kong University of Science and Technology,Front-End Web Development with React,COURSE,Rated 4.7 out of five stars. 2821 reviews,4.7,"2,821",130K students,Intermediate
/specializations/excel-skills-for-business-forecasting,Macquarie University,Excel Skills for Business Forecasting,SPECIALIZATION,Rated 4.9 out of five stars. 31 reviews,4.9,31,,Intermediate
/specializations/clinical-data-science,University of Colorado System,Clinical Data Science,SPECIALIZATION,Rated 4.5 out of five stars. 329 reviews,4.5,329,17K students,Intermediate
/specializations/artificial-intelligence-scientific-research,LearnQuest,AI for Scientific Research,SPECIALIZATION,,,,,Beginner
/learn/python-genomics,Johns Hopkins University,Python for Genomic Data Science,COURSE,Rated 4.3 out of five stars. 1335 reviews,4.3,"1,335",42K students,Mixed
/specializations/compstats,Databricks,Introduction to Computational Statistics for Data Scientists,SPECIALIZATION,Rated 2.9 out of five stars. 12 reviews,2.9,12,1.6K students,Beginner
/specializations/fullstack-web-development-espanol,Universidad Austral,Full Stack Web Development en Español,SPECIALIZATION,Rated 4.2 out of five stars. 709 reviews,4.2,709,35K students,Beginner
/specializations/database-systems,Universidad Nacional Autónoma de México,Database systems,SPECIALIZATION,Rated 4.1 out of five stars. 373 reviews,4.1,373,28K students,Intermediate
/learn/presentation-design,University of Colorado Boulder,Graphic Design,COURSE,Rated 4.8 out of five stars. 2578 reviews,4.8,"2,578",110K students,Beginner
/learn/javascript-jquery-json,University of Michigan,"JavaScript, jQuery, and JSON",COURSE,Rated 4.6 out of five stars. 712 reviews,4.6,712,80K students,Intermediate
/learn/python-project,University of Michigan,"Python Project: pillow, tesseract, and opencv",COURSE,Rated 4 out of five stars. 1609 reviews,4,"1,609",50K students,Intermediate
/specializations/machine-learning-algorithms-real-world,Alberta Machine Intelligence Institute,Machine Learning: Algorithms in the Real World,SPECIALIZATION,Rated 4.6 out of five stars. 879 reviews,4.6,879,27K students,Intermediate
/learn/statistical-genomics,Johns Hopkins University,Statistics for Genomic Data Science,COURSE,Rated 4.2 out of five stars. 292 reviews,4.2,292,27K students,Mixed
/learn/trading-strategies-reinforcement-learning,New York Institute of Finance,Reinforcement Learning for Trading Strategies,COURSE,Rated 3.7 out of five stars. 172 reviews,3.7,172,9.7K students,Intermediate
/specializations/strategic-analytics,ESSEC Business School,Strategic Business Analytics,SPECIALIZATION,Rated 4.3 out of five stars. 1170 reviews,4.3,"1,170",86K students,Advanced
/learn/cloud-machine-learning-engineering-mlops-duke,Duke University,Cloud Machine Learning Engineering and MLOps,COURSE,Rated 4.8 out of five stars. 9 reviews,4.8,9,,Intermediate
/specializations/digital-business,École Polytechnique,Digital Business,SPECIALIZATION,Rated 4.4 out of five stars. 7 reviews,4.4,7,,Beginner
/learn/bioconductor,Johns Hopkins University,Bioconductor for Genomic Data Science,COURSE,Rated 3.9 out of five stars. 295 reviews,3.9,295,17K students,Mixed
/learn/ibm-ai-workflow-machine-learning-vr-nlp,IBM,"AI Workflow: Machine Learning, Visual Recognition and NLP",COURSE,Rated 4.5 out of five stars. 60 reviews,4.5,60,2.7K students,Advanced
/learn/predictive-modeling-analytics,University of Colorado Boulder,Predictive Modeling and Analytics,COURSE,Rated 3.6 out of five stars. 532 reviews,3.6,532,28K students,Mixed
/learn/demand-prediction-using-time-series,LearnQuest,Demand Forecasting Using Time Series,COURSE,,,,,Intermediate
/learn/algorithms-data-collection-code,University of Colorado System,"Algorithms, Data Collection, and Starting to Code",COURSE,Rated 4.6 out of five stars. 276 reviews,4.6,276,16K students,Beginner
/learn/fundamentals-of-big-data,LearnQuest,Fundamentals of Big Data,COURSE,Rated 4.7 out of five stars. 6 reviews,4.7,6,,Mixed
/specializations/value-creation-innovation,EIT Digital,Value Creation Through Innovation,SPECIALIZATION,Rated 4.5 out of five stars. 570 reviews,4.5,570,46K students,Intermediate
/specializations/tidyverse-data-science-r,Johns Hopkins University,Tidyverse Skills for Data Science in R,SPECIALIZATION,Rated 4.3 out of five stars. 40 reviews,4.3,40,2K students,Beginner
/learn/web-app,University of New Mexico,Web Application Development: Basic Concepts,COURSE,Rated 4.4 out of five stars. 168 reviews,4.4,168,44K students,Mixed
